Character Builder Lite	Ron's Character Planner	DDO Builder
Past Life: Favored Soul	Past Life: Acolyte of Divine Secrets	Past Life: Acolyte of Divine Secrets
Past Life: Fighter	Past Life: Student of the Sword	Past Life: Student of the Sword
Past Life: Monk	Past Life: Disciple of the Fist	Past Life: Disciple of the Fist
Past Life: Paladin	Past Life: Soldier of the Faith	Past Life: Soldier of the Faith
Past Life: Ranger	Past Life: Warrior of the Wild	Past Life: Warrior of the Wild
Past Life: Rogue	Past Life: Sneak of Shadows	Past Life: Sneak of Shadows
Past Life: Sorcerer	Past Life: Arcane Prodigy	Past Life: Arcane Prodigy
Past Life: Warlock	Past Life: Delver of the Forbidden	Past Life: Delver of the Forbidden
Past Life: Wizard	Past Life: Arcane Initiate	Past Life: Arcane Initiate
Path of Harmonious Balance	Path of Harmonious Balance: Fists of Light	Path of Harmonious Balance: Fists of Light
Path of Inevitable Dominion	Path of Inevitable Dominion: Fists of Darkness	Path of Inevitable Dominion: Fists of Darkness
Perfect Single Weapon Fighting	Martial Sphere: Perfect Single Weapon Fighting	Perfect Single Weapon Fighting
Perfect Two Handed Fighting	Primal Sphere: Perfect Two Handed Fighting	Perfect Two Handed Fighting
Perfect Two Weapon Fighting	Primal Sphere: Perfect Two Weapon Fighting	Perfect Two Weapon Fighting
Pierce Damage Reduction: Adamantine	Martial Sphere: Pierce Adamantine	Pierce Adamantine
Pierce Damage Reduction: Byeshk	Martial Sphere: Pierce Byeshk	Pierce Byeshk
Pierce Damage Reduction: Cold Iron	Martial Sphere: Pierce Cold Iron	Pierce Cold Iron
Pierce Damage Reduction: Silver	Martial Sphere: Pierce Silver	Pierce Silver
Point Blank Shot	Point Blank Shot	Point Blank Shot
Power Attack	Power Attack	Power Attack
Power Critical	Power Critical	Power Critical
Precise Shot	Precise Shot	Precise Shot
Precision	Precision	Precision
Purity of Heart	Purity of Heart	Purity of Heart
Quick Draw	Quick Draw	Quick Draw
Quicken Spell	Quicken Spell	Quicken
Rapid Reload	Rapid Reload	Rapid Reload
Rapid Shot	Rapid Shot	Rapid Shot
Resilience	Resilience	Resilience
Resist Poison	Resist Poison	Resist Poison
Ruin	Epic: Ruin	Ruin
Sap	Sap	Sap
Scion of: Arborea	Scion of Arborea	Scion of Arborea
Scion of: Astral Plane	Scion of the Astral Plane	Scion of the Astral Plane
Scion of: Celestia	Scion of Celestia	Scion of Celestia
Scion of: Elysium	Scion of Elysium	Scion of Elysium
Scion of: Ethereal Plane	Scion of the Ethereal Plane	Scion of the Ethereal Plane
Scion of: Feywild	Scion of the Feywild	Scion of the Feywild
Scion of: Limbo	Scion of Limbo	Scion of Limbo
Scion of: Mechanus	Scion of Mechanus	Scion of Mechanus
Scion of: Plane of Air	Scion of the Plane of Air	Scion of the Plane of Air
Scion of: Plane of Earth	Scion of the Plane of Earth	Scion of the Plane of Earth
Scion of: Plane of Fire	Scion of the Plane of Fire	Scion of the Plane of Fire
Scion of: Plane of Water	Scion of the Plane of Water	Scion of the Plane of Water
Scion of: Shadowfell	Scion of the Shadowfell	Scion of the Shadowfell
Self Sufficient	Self Sufficient	Self Sufficient
Shield Deflection	Shield Deflection	Shield Deflection
Shield Mastery	Shield Mastery	Shield Mastery
Shield Proficiency	Shield Proficiency (General)	Shield Proficiency (General)
Shot on the Run	Shot on the Run	Shot on the Run
Shuriken Expertise	Shuriken Expertise	Shuriken Expertise
Simple Weapons	Simple Weapon Proficiency	
Single Weapon Fighting	Single Weapon Fighting	Single Weapon Fighting
Skill Focus: Balance	Skill Focus: Balance	Skill Focus: Balance
Skill Focus: Bluff	Skill Focus: Bluff	Skill Focus: Bluff
Skill Focus: Concentration	Skill Focus: Concentration	Skill Focus: Concentration
Skill Focus: Diplomacy	Skill Focus: Diplomacy	Skill Focus: Diplomacy
Skill Focus: Disable Device	Skill Focus: Disable Device	Skill Focus: Disable Device
Skill Focus: Haggle	Skill Focus: Haggle	Skill Focus: Haggle
Skill Focus: Heal	Skill Focus: Heal	Skill Focus: Heal
Skill Focus: Hide	Skill Focus: Hide	Skill Focus: Hide
Skill Focus: Intimidate	Skill Focus: Intimidate	Skill Focus: Intimidate
Skill Focus: Jump	Skill Focus: Jump	Skill Focus: Jump
Skill Focus: Listen	Skill Focus: Listen	Skill Focus: Listen
Skill Focus: Move Silently	Skill Focus: Move Silently	Skill Focus: Move Silently
Skill Focus: Open Lock	Skill Focus: Open Lock	Skill Focus: Open Lock
Skill Focus: Perform	Skill Focus: Perform	Skill Focus: Perform
Skill Focus: Repair	Skill Focus: Repair	Skill Focus: Repair
Skill Focus: Search	Skill Focus: Search	Skill Focus: Search
Skill Focus: Spellcraft	Skill Focus: Spellcraft	Skill Focus: Spellcraft
Skill Focus: Spot	Skill Focus: Spot	Skill Focus: Spot
Skill Focus: Swim	Skill Focus: Swim	Skill Focus: Swim
Skill Focus: Tumble	Skill Focus: Tumble	Skill Focus: Tumble
Skill Focus: Use Magic Device	Skill Focus: Use Magic Device	Skill Focus: Use Magic Device
Skill Mastery	Skill Mastery	Skill Mastery
Slicing Blow	Slicing Blow	Slicing Blow
Slippery Mind	Slippery Mind	Slippery Mind
Snake Blood	Snake Blood	Snake Blood
Spell Focus: Abjuration	Spell Focus: Abjuration	Spell Focus: Abjuration
Spell Focus: Conjuration	Spell Focus: Conjuration	Spell Focus: Conjuration
Spell Focus: Enchantment	Spell Focus: Enchantment	Spell Focus: Enchantment
Spell Focus: Evocation	Spell Focus: Evocation	Spell Focus: Evocation
Spell Focus: Illusion	Spell Focus: Illusion	Spell Focus: Illusion
Spell Focus: Necromancy	Spell Focus: Necromancy	Spell Focus: Necromancy
Spell Focus: Transmutation	Spell Focus: Transmutation	Spell Focus: Transmutation
Spell Penetration	Spell Penetration	Spell Penetration
Spirit Blades	Multiple Spheres: Spirit Blades	Spirit Blades
Spring Attack	Spring Attack	Spring Attack
Stealthy	Stealthy	Stealthy
Stout of Heart	Stout of Heart	Stout of Heart
Stunning Blow	Stunning Blow	Stunning Blow
Stunning Fist	Stunning Fist	Stunning Fist
Superior Weapon Focus: Bludgeoning	Superior Weapon Focus: Bludgeoning Weapons	Superior Weapon Focus: Bludgeoning Weapons
Superior Weapon Focus: Piercing	Superior Weapon Focus: Piercing Weapons	Superior Weapon Focus: Piercing Weapons
Superior Weapon Focus: Ranged	Superior Weapon Focus: Ranged Weapons	Superior Weapon Focus: Ranged Weapons
Superior Weapon Focus: Slashing	Superior Weapon Focus: Slashing Weapons	Superior Weapon Focus: Slashing Weapons
Superior Weapon Focus: Thrown	Superior Weapon Focus: Thrown Weapons	Superior Weapon Focus: Thrown Weapons
Tactical Combatant	Tacticle Combatant	Tactical Combatant
Tactical Mastery	Tacticle Master	Tactical Mastery
Tactical Supremacy	Tacticle Supremacy	Tactical Supremacy
Tactical Training	Tacticle Training	Tactical Training
Tactician	Martial Sphere: Tactician	Tactician
Ten Thousand Stars	Ten Thousand Stars	Ten Thousand Stars
Toughness	Toughness	Toughness
Tower Shield Proficiency	Tower Shield Proficiency	Tower Shield Proficiency
Two Handed Fighting	Two Handed Fighting	Two Handed Fighting
Two Weapon Blocking	Two Weapon Blocking	Two Weapon Blocking
Two Weapon Defense	Two Weapon Defense	Two Weapon Defense
Two Weapon Fighting	Two Weapon Fighting	Two Weapon Fighting
Vorpal Strikes	Epic: Vorpal Strikes	Vorpal Strikes
Watchful Eye	Epic: Watchful Eye	Watchful Eye
Weapon Finesse	Weapon Finesse	Weapon Finesse
Weapon Focus: Bludgeoning	Weapon Focus: Bludgeoning Weapons	Weapon Focus: Bludgeoning Weapons
Weapon Focus: Piercing	Weapon Focus: Piercing Weapons	Weapon Focus: Piercing Weapons
Weapon Focus: Ranged	Weapon Focus: Ranged Weapons	Weapon Focus: Ranged Weapons
Weapon Focus: Slashing	Weapon Focus: Slashing Weapons	Weapon Focus: Slashing Weapons
Weapon Focus: Thrown	Weapon Focus: Thrown Weapons	Weapon Focus: Thrown Weapons
Weapon Specialization: Bludgeoning	Weapon Specialization: Bludgeoning Weapons	Weapon Specialization: Bludgeoning Weapons
Weapon Specialization: Piercing	Weapon Specialization: Piercing Weapons	Weapon Specialization: Piercing Weapons
Weapon Specialization: Ranged	Weapon Specialization: Ranged Weapons	Weapon Specialization: Ranged Weapons
Weapon Specialization: Slashing	Weapon Specialization: Slashing Weapons	Weapon Specialization: Slashing Weapons
Weapon Specialization: Thrown	Weapon Specialization: Thrown Weapons	Weapon Specialization: Thrown Weapons
Wellspring of Power	Epic: Wellspring of Power	Wellspring of Power
Whirling Steel Strike	Whirling Steel Strike	Whirling Steel Strike
Whirlwind Attack	Whirlwind Attack	Whirlwind Attack
Wild Shape 1: Bear	Wild Shape: Bear	Wild Shape: Bear
Wild Shape 1: Wolf	Wild Shape: Wolf	Wild Shape: Wolf
Wild Shape 2: Dire Bear	Wild Shape: Dire Bear	Wild Shape: Dire Bear
Wild Shape 2: Winter Wolf	Wild Shape: Winter Wolf	Wild Shape: Winter Wolf
Wild Shape 3: Fire Elemental	Wild Shape: Fire Elemental	Wild Shape: Fire Elemental
Wild Shape 3: Water Elemental	Wild Shape: Water Elemental	Wild Shape: Water Elemental
Wind through the Trees	Wind through the Trees	
Zen Archery	Zen Archery	Zen Archery
